naics,naics_title,short_title,short_label,full_label,match_level,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost,robots_adopted,robotics_productivity_gain,robotics_cost_savings,jobs_displaced,training_hours,manuf_export_share,gdp_per_capita,inflation,real_gdp,labor_productivity,revenue_per_worker
311111,Dog and Cat Food Manufacturing,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,exact,2015,5649.8,1400.9,4248.9,584.0,342.41212121212124,16.5,12.5,4.0,1008.6,29.7,740.0,12361.5,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,626.4,1370.0484848484848
313210,Broadwoven Fabric Mills,Broadwoven Fabric Mills,313210 | Broadwoven Fabric Mills,313210 - Broadwoven Fabric Mills,exact,2016,6097.6,3523.6,2574.1,85.9,342.561797752809,17.8,15.3,2.5,685.8,31.4,498.6,2434.0,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,81.53370786516854,218.62921348314606
321113,Sawmills,Sawmills,321113 | Sawmills,321113 - Sawmills,exact,2015,8918.8,3236.4,5682.3,1262.0,134.7250755287009,66.2,56.2,10.0,3083.1,124.3,2422.1,12905.8,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,133.6737160120846,328.72809667673715
321113,Sawmills,Sawmills,321113 | Sawmills,321113 - Sawmills,exact,2016,9281.3,3206.9,6074.4,1251.4,139.35885885885887,66.6,56.4,10.199999999999996,3207.0,124.7,2513.7,12976.5,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,148.15465465465468,342.22522522522524
322110,Pulp Mills,Pulp Mills,322110 | Pulp Mills,322110 - Pulp Mills,exact,2015,7240.8,2262.3,4978.5,404.0,872.3855421686746,8.3,6.8,1.5000000000000009,707.0,15.8,552.9,3045.8,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,379.39759036144574,744.8795180722891
322110,Pulp Mills,Pulp Mills,322110 | Pulp Mills,322110 - Pulp Mills,exact,2016,7203.3,2225.3,4978.0,453.5,900.4125,8.0,6.4,1.5999999999999996,671.0,14.4,518.1,2761.2,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,346.1375,687.6375
322121,Paper MillsT,Paper MillsT,322121 | Paper MillsT,322121 - Paper MillsT,prefix_5_digit,2015,37967.2,10805.1,27162.1,2341.0,667.261862917399,56.9,45.8,11.100000000000001,4125.4,98.3,3160.9,20573.0,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,385.73813708260104,748.0826010544816
322121,Paper MillsT,Paper MillsT,322121 | Paper MillsT,322121 - Paper MillsT,prefix_5_digit,2016,37539.1,10659.6,26879.5,1938.4,683.7723132969035,54.9,43.9,11.0,4042.5,94.9,3097.0,19379.5,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,383.3588342440802,736.1001821493625
322122,Paper MillsT,Paper MillsT,322122 | Paper MillsT,322122 - Paper MillsT,prefix_5_digit,2015,4605.7,1663.4,2942.3,167.1,2093.4999999999995,2.2,1.7,0.5000000000000002,183.4,4.0,138.7,982.4,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,339.5454545454545,799.8181818181818
322122,Paper MillsT,Paper MillsT,322122 | Paper MillsT,322122 - Paper MillsT,prefix_5_digit,2016,4405.1,1629.6,2775.5,128.5,2318.4736842105267,1.9,1.5,0.3999999999999999,157.0,3.4,120.0,871.7,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,348.05263157894734,802.842105263158
322130,Paperboard Mills,Paperbd Mills,322130 | Paperbd Mills,322130 - Paperboard Mills,exact,2015,21083.7,5479.4,15604.3,2033.9,611.1217391304348,34.5,26.7,7.800000000000001,2800.1,59.7,2106.0,12334.6,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,511.90434782608696,868.5739130434782
