naics,naics_title,short_title,short_label,full_label,match_level,avg_future_productivity,avg_future_revenue,lgbm_avg_future_productivity,lgbm_avg_future_revenue
325110,Petrochemical Manufacturing,Petrochemical Mfg,325110 | Petrochemical Mfg,325110 - Petrochemical Manufacturing,exact,2912.161,5429.0684,1917.8284947756267,4272.967743009497
324121,Asphalt Paving Mixture and Block Manufacturing,Asphalt Paving Mixture & Block Mfg,324121 | Asphalt Paving Mixture & Block Mfg,324121 - Asphalt Paving Mixture and Block Manufacturing,exact,325.62857,782.03827,368.25089470642234,836.0146518923399
322291,Sanitary Paper Product Manufacturing,Sanitary Paper Prod Mfg,322291 | Sanitary Paper Prod Mfg,322291 - Sanitary Paper Product Manufacturing,exact,323.8521,675.11346,277.759092368487,514.7755054580626
327420,Gypsum Product Manufacturing,Gypsum Prod Mfg,327420 | Gypsum Prod Mfg,327420 - Gypsum Product Manufacturing,exact,318.95715,613.90405,307.9637840005051,576.9013307078249
334111,Electronic Computer Manufacturing,Elec Computer Mfg,334111 | Elec Computer Mfg,334111 - Electronic Computer Manufacturing,exact,318.92468,886.25964,437.2328099517304,1009.864351415874
327992,Ground or Treated Mineral and Earth Manufacturing,Ground or Treated Mineral & Earth Mfg,327992 | Ground or Treated Mineral & Earth Mfg,327992 - Ground or Treated Mineral and Earth Manufacturing,exact,316.432,516.617,299.09980548599475,505.88831054188995
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","Military Armored Vehicle, Tank, & Tan...","336992 | Military Armored Vehicle, Tank, & Tan...","336992 - Military Armored Vehicle, Tank, and Tank Component Manufacturing",exact,309.3183,507.8604,256.2780102815978,439.6143778630064
334413,Semiconductor and Related Device Manufacturing,Semiconductor & Related Device Mfg,334413 | Semiconductor & Related Device Mfg,334413 - Semiconductor and Related Device Manufacturing,exact,307.61163,500.10025,683.2839525169718,1448.8478048625639
331313,Alumina Refining and Primary Aluminum Production,Alumina Refining & Primary Aluminum P...,331313 | Alumina Refining & Primary Aluminum P...,331313 - Alumina Refining and Primary Aluminum Production,exact,305.37927,809.68695,323.61290816928545,742.2867246120752
325130,Synthetic Dye and Pigment Manufacturing,Synthetic Dye & Pigment Mfg,325130 | Synthetic Dye & Pigment Mfg,325130 - Synthetic Dye and Pigment Manufacturing,exact,301.77792,802.7182,402.1067960681351,817.1424179845948
311920,Coffee and Tea Manufacturing,Coffee & Tea Mfg,311920 | Coffee & Tea Mfg,311920 - Coffee and Tea Manufacturing,exact,299.5829,866.29596,265.68910376043857,933.8101442998344
312111,Soft Drink Manufacturing,Soft Drink Mfg,312111 | Soft Drink Mfg,312111 - Soft Drink Manufacturing,exact,299.13763,846.1338,314.14671193502653,1220.4369853546948
311119,Other Animal Food Manufacturing,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,exact,289.2542,1179.9148,319.5054654435918,1387.4094943588775
327410,Lime Manufacturing,Lime Mfg,327410 | Lime Mfg,327410 - Lime Manufacturing,exact,286.50726,603.1355,318.40431728686883,587.3698302433472
336991,"Motorcycle, Bicycle, and Parts Manufacturing","Motorcycle, Bicycle, & Parts Mfg","336991 | Motorcycle, Bicycle, & Parts Mfg","336991 - Motorcycle, Bicycle, and Parts Manufacturing",exact,284.10083,620.23553,268.1606503616713,628.4486640714462
325413,In-Vitro Diagnostic Substance Manufacturing,In-Vitro Diagnostic Substance Mfg,325413 | In-Vitro Diagnostic Substance Mfg,325413 - In-Vitro Diagnostic Substance Manufacturing,exact,283.77277,412.7092,262.4637302714429,364.369589723116
336414,Guided Missile and Space Vehicle Manufacturing,Guided Missile & Space Vehicle Mfg,336414 | Guided Missile & Space Vehicle Mfg,336414 - Guided Missile and Space Vehicle Manufacturing,exact,282.2937,466.01837,310.88717153155875,315.8871435275881
336412,Aircraft Engine and Engine Parts Manufacturing,Aircraft Engine & Engine Parts Mfg,336412 | Aircraft Engine & Engine Parts Mfg,336412 - Aircraft Engine and Engine Parts Manufacturing,exact,281.49725,507.07513,370.39733472003735,572.6766491255877
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","Search, Detection, Navigation, Guidan...","334511 | Search, Detection, Navigation, Guidan...","334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",exact,279.07568,391.3382,216.010544428321,165.85828394278047
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,Motor Vehicle Gasoline Engine & Engin...,336310 | Motor Vehicle Gasoline Engine & Engin...,336310 - Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,exact,276.58173,776.54443,336.81877720502195,986.3237695901184
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Electromedical & Electrotherapeutic A...,334510 | Electromedical & Electrotherapeutic A...,334510 - Electromedical and Electrotherapeutic Apparatus Manufacturing,exact,276.41595,387.82248,248.47815240468998,314.1580180244753
