naics,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost
311821,2025,4958.6,1227.4,3731.2,335.7,161.51791530944627,30.7,24.9,5.800000000000001,1528.2,48.3,1072.8,4806.8
311821,2026,4958.6,1227.4,3731.2,335.7,161.51791530944627,30.7,24.9,5.800000000000001,1528.2,48.3,1072.8,4806.8
311821,2027,4958.6,1227.4,3731.2,335.7,161.51791530944627,30.7,24.9,5.800000000000001,1528.2,48.3,1072.8,4806.8
311824,2024,4273.8,1107.8,3166.0,349.3,195.15068493150687,21.9,16.4,5.5,1136.6,31.5,719.4,7588.4
311824,2025,4273.8,1107.8,3166.0,349.3,195.15068493150687,21.9,16.4,5.5,1136.6,31.5,719.4,7588.4
311824,2026,4273.8,1107.8,3166.0,349.3,195.15068493150687,21.9,16.4,5.5,1136.6,31.5,719.4,7588.4
311824,2027,4273.8,1107.8,3166.0,349.3,195.15068493150687,21.9,16.4,5.5,1136.6,31.5,719.4,7588.4
311830,2024,1118.4,179.4,939.0,127.7,62.831460674157306,17.8,14.8,3.0,717.4,30.1,511.9,1811.4
311830,2025,1118.4,179.4,939.0,127.7,62.831460674157306,17.8,14.8,3.0,717.4,30.1,511.9,1811.4
311830,2026,1118.4,179.4,939.0,127.7,62.831460674157306,17.8,14.8,3.0,717.4,30.1,511.9,1811.4
311830,2027,1118.4,179.4,939.0,127.7,62.831460674157306,17.8,14.8,3.0,717.4,30.1,511.9,1811.4
311911,2024,3366.5,647.9,2718.6,300.5,170.0252525252525,19.8,15.9,3.9000000000000004,915.1,33.1,653.3,10612.0
311911,2025,3366.5,647.9,2718.6,300.5,170.0252525252525,19.8,15.9,3.9000000000000004,915.1,33.1,653.3,10612.0
311911,2026,3366.5,647.9,2718.6,300.5,170.0252525252525,19.8,15.9,3.9000000000000004,915.1,33.1,653.3,10612.0
311911,2027,3366.5,647.9,2718.6,300.5,170.0252525252525,19.8,15.9,3.9000000000000004,915.1,33.1,653.3,10612.0
311919,2024,6444.1,1870.2,4574.0,494.3,177.52341597796146,36.3,27.7,8.599999999999998,1830.9,54.3,1309.7,6935.1
311919,2025,6444.1,1870.2,4574.0,494.3,177.52341597796146,36.3,27.7,8.599999999999998,1830.9,54.3,1309.7,6935.1
311919,2026,6444.1,1870.2,4574.0,494.3,177.52341597796146,36.3,27.7,8.599999999999998,1830.9,54.3,1309.7,6935.1
311919,2027,6444.1,1870.2,4574.0,494.3,177.52341597796146,36.3,27.7,8.599999999999998,1830.9,54.3,1309.7,6935.1
311920,2024,4535.1,1467.8,3067.3,187.2,285.22641509433964,15.9,10.6,5.300000000000001,960.0,23.6,556.2,8957.1
311920,2025,4535.1,1467.8,3067.3,187.2,285.22641509433964,15.9,10.6,5.300000000000001,960.0,23.6,556.2,8957.1
