naics,naics_title,match_level,short_title,short_label,full_label
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",exact,"Cyclic Crude, Intermediate, & Gum & W...","325194 | Cyclic Crude, Intermediate, & Gum & W...","325194 - Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
325199,All Other Basic Organic Chemical Manufacturing,exact,All Other Basic Organic Chem Mfg,325199 | All Other Basic Organic Chem Mfg,325199 - All Other Basic Organic Chemical Manufacturing
325211,Plastics Material and Resin Manufacturing,exact,Plast Material & Resin Mfg,325211 | Plast Material & Resin Mfg,325211 - Plastics Material and Resin Manufacturing
325212,Synthetic Rubber Manufacturing,exact,Synthetic Rubber Mfg,325212 | Synthetic Rubber Mfg,325212 - Synthetic Rubber Manufacturing
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,exact,Artificial & Synthetic Fibers & Filam...,325220 | Artificial & Synthetic Fibers & Filam...,325220 - Artificial and Synthetic Fibers and Filaments Manufacturing
325311,Nitrogenous Fertilizer Manufacturing,exact,Nitrogenous Fertilizer Mfg,325311 | Nitrogenous Fertilizer Mfg,325311 - Nitrogenous Fertilizer Manufacturing
325312,Phosphatic Fertilizer Manufacturing,exact,Phosphatic Fertilizer Mfg,325312 | Phosphatic Fertilizer Mfg,325312 - Phosphatic Fertilizer Manufacturing
325314,Fertilizer (Mixing Only) Manufacturing,exact,Fertilizer (Mixing Only) Mfg,325314 | Fertilizer (Mixing Only) Mfg,325314 - Fertilizer (Mixing Only) Manufacturing
325320,Pesticide and Other Agricultural Chemical Manufacturing,exact,Pesticide & Other Agricultural Chem Mfg,325320 | Pesticide & Other Agricultural Chem Mfg,325320 - Pesticide and Other Agricultural Chemical Manufacturing
325411,Medicinal and Botanical Manufacturing,exact,Medicinal & Botanical Mfg,325411 | Medicinal & Botanical Mfg,325411 - Medicinal and Botanical Manufacturing
325412,Pharmaceutical Preparation Manufacturing,exact,Pharma Prep Mfg,325412 | Pharma Prep Mfg,325412 - Pharmaceutical Preparation Manufacturing
325413,In-Vitro Diagnostic Substance Manufacturing,exact,In-Vitro Diagnostic Substance Mfg,325413 | In-Vitro Diagnostic Substance Mfg,325413 - In-Vitro Diagnostic Substance Manufacturing
325414,Biological Product (except Diagnostic) Manufacturing,exact,Biological Prod (except Diagnostic) Mfg,325414 | Biological Prod (except Diagnostic) Mfg,325414 - Biological Product (except Diagnostic) Manufacturing
325510,Paint and Coating Manufacturing,exact,Paint & Coating Mfg,325510 | Paint & Coating Mfg,325510 - Paint and Coating Manufacturing
325520,Adhesive Manufacturing,exact,Adhesive Mfg,325520 | Adhesive Mfg,325520 - Adhesive Manufacturing
325611,Soap and Other Detergent Manufacturing,exact,Soap & Other Detergent Mfg,325611 | Soap & Other Detergent Mfg,325611 - Soap and Other Detergent Manufacturing
